,0165_10,0165_11,0165_12,0165_13,0165_14,0165_15,0165_16,0165_17,0165_18,0165_19,0165_20,0165_21,0165_22,0165_23,0165_24,0165_25,0165_26,0165_27,0165_28,0165_29,0165_30,internetP,label
ny_0000228,44904,27874,275,3387,1341,2046,17399,5009,12390,1490,658,832,373,75,298,3559,1640,1919,1391,1487,15543,0.620746481383,train
wi_0000093,72057,53024,885,8780,2997,5783,32125,9927,22198,1223,348,875,1399,282,1117,4626,2350,2276,3986,3120,15913,0.735861887117,train
pa_0000148,50676,45116,322,2271,1319,952,22375,11305,11070,11968,6442,5526,277,237,40,6813,4384,2429,1090,1128,4432,0.890283368853,train
ca_0000352,47406,35890,313,6898,1308,5590,9616,2837,6779,1252,467,785,500,181,319,16519,1924,14595,792,766,10750,0.757077163228,train
nc_0000137,40614,29671,327,3526,1229,2297,14316,4140,10176,1478,322,1156,451,116,335,2161,1081,1080,7412,1242,9701,0.730560890333,train
ca_0000366,54183,42605,705,12006,4456,7550,19592,6469,13123,1255,502,753,820,401,419,6552,3377,3175,1675,2189,9389,0.786316741413,train
in_0000117,54118,37092,523,8797,2214,6583,16808,4787,12021,2194,782,1412,1234,219,1015,2210,1246,964,5326,2645,14381,0.685391182231,train
il_0000170,43595,36931,208,8162,3979,4183,20439,12740,7699,1495,840,655,360,175,185,4677,2879,1798,1590,989,5675,0.847138433307,train
tx_0000376,35622,29176,73,4977,2145,2832,14644,5464,9180,2045,982,1063,413,413,0,3784,2418,1366,3240,1782,4664,0.819044410757,train
il_0000145,61019,44210,414,9435,3474,5961,22614,7550,15064,576,156,420,2428,422,2006,5025,1483,3542,3718,1366,15443,0.724528425572,train
ia_0000057,48465,31199,831,7638,2345,5293,15030,4821,10209,580,114,466,1432,534,898,3478,1867,1611,2210,2901,14365,0.643742907253,train
wa_0000100,43047,37800,134,5276,1860,3416,23768,10603,13165,721,333,388,395,49,346,4401,2408,1993,3105,916,4331,0.87810997282,train
oh_0000151,40269,37190,157,3966,1843,2123,24756,13081,11675,2303,1443,860,464,464,0,4256,2407,1849,1288,609,2470,0.923539198887,train
tx_0000232,41072,32616,478,6355,2559,3796,14871,4887,9984,2863,1025,1838,648,289,359,3347,1861,1486,4054,1554,6902,0.794117647059,train
ny_0000167,43154,31008,811,10546,1915,8631,11163,2879,8284,706,163,543,2189,379,1810,4527,1204,3323,1066,1602,10544,0.718542892895,train
ca_0000458,42363,35470,250,8574,4576,3998,15060,9391,5669,3501,1523,1978,566,315,251,3797,1879,1918,3722,1537,5356,0.837287255388,train
ny_0000160,44882,35914,267,3856,1595,2261,27877,10293,17584,62,39,23,582,242,340,2430,1252,1178,840,1519,7449,0.800187157435,train
ca_0000312,63819,51785,305,12116,5612,6504,25164,11906,13258,1999,1029,970,588,174,414,7308,4967,2341,4305,2603,9431,0.811435465927,train
in_0000105,40804,26280,1750,8608,2561,6047,5718,2045,3673,555,117,438,2922,768,2154,2313,1157,1156,4414,1081,13443,0.64405450446,train
in_0000092,71056,50568,1126,14047,6013,8034,20421,8510,11911,1176,359,817,2156,409,1747,5191,2534,2657,6451,2137,18351,0.711664039631,train
pa_0000128,54473,40014,985,15254,5612,9642,16491,7126,9365,292,67,225,453,125,328,4062,1698,2364,2477,1615,12844,0.734565748169,train
ky_0000043,43502,27847,358,14737,4000,10737,6769,2442,4327,872,31,841,994,179,815,2829,853,1976,1288,1645,14010,0.640131488207,train
nj_0000100,41827,37738,103,2354,830,1524,23409,7577,15832,7207,3282,3925,172,172,0,3174,2011,1163,1319,1050,3039,0.902240179788,train
nv_0000033,50798,39524,279,12483,5206,7277,16453,7838,8615,1908,1313,595,1228,440,788,4665,2660,2005,2508,2485,8789,0.77806212843,train
ca_0000536,57927,52505,260,10508,3550,6958,33000,14706,18294,2813,1162,1651,533,453,80,3873,2380,1493,1518,842,4580,0.90639943377,train
or_0000052,64420,49753,1158,17003,5661,11342,21385,8302,13083,577,132,445,2146,429,1717,4431,1680,2751,3053,3450,11217,0.772322260168,train
tx_0000256,32261,28228,1513,5805,2247,3558,12434,3967,8467,3383,1521,1862,405,0,405,3751,2305,1446,937,1060,2973,0.874988376058,train
or_0000062,41448,32967,291,6116,2323,3793,19500,6566,12934,1051,317,734,1149,266,883,1999,1091,908,2861,1861,6620,0.795382165605,train
co_0000082,46337,39009,870,11938,4767,7171,17798,7248,10550,483,122,361,517,197,320,4985,2599,2386,2418,1577,5751,0.841854241751,train
fl_0000179,38986,27676,246,5834,1726,4108,14266,6551,7715,612,357,255,547,231,316,3492,2071,1421,2679,2363,8947,0.709895860052,train
sd_0000027,67095,51610,682,6088,1737,4351,32597,12606,19991,1156,202,954,755,368,387,6958,3015,3943,3374,3679,11806,0.76920783963,train
il_0000179,39204,34822,278,6148,2625,3523,20902,10435,10467,1998,985,1013,555,439,116,3113,1274,1839,1828,600,3782,0.888225691256,train
ga_0000107,63865,45133,384,23027,6779,16248,11325,2814,8511,42,42,0,1809,484,1325,4294,1812,2482,4252,2605,16127,0.70669380725,train
tn_0000099,41200,26289,209,7659,2990,4669,11597,3611,7986,2013,1040,973,496,161,335,2380,1256,1124,1935,2898,12013,0.638082524272,train
mo_0000078,37349,32194,161,7009,3348,3661,18152,10186,7966,2143,1468,675,766,225,541,2292,1806,486,1671,1119,4036,0.861977562987,train
fl_0000282,37974,24851,737,10318,2110,8208,7076,1599,5477,1003,210,793,1015,102,913,3509,1218,2291,1193,1751,11372,0.654421446253,train
nc_0000154,46834,32501,470,7029,2346,4683,18066,8130,9936,196,112,84,310,213,97,2090,1308,782,4340,1485,12848,0.693961651791,train
ca_0000496,41642,31727,228,5404,1535,3869,20277,4267,16010,1599,438,1161,1069,28,1041,2212,1441,771,938,1155,8760,0.761899044234,train
in_0000101,68442,52393,1050,9960,3920,6040,30973,11038,19935,979,422,557,1156,489,667,3597,1487,2110,4678,6781,9268,0.765509482482,train
ny_0000257,58518,40403,141,8135,548,7587,21941,5100,16841,4971,947,4024,634,473,161,2994,739,2255,1587,2476,15639,0.690437130456,train
nm_0000050,42743,29158,374,7909,3726,4183,9327,4867,4460,391,284,107,1053,282,771,2738,1532,1206,7366,781,12804,0.682170179913,train
nj_0000121,42185,25426,57,1387,297,1090,18814,5887,12927,834,310,524,123,123,0,3147,1410,1737,1064,2659,14100,0.602726087472,train
tn_0000072,51574,37809,587,8623,3223,5400,19351,9682,9669,950,882,68,508,266,242,3611,1577,2034,4179,1537,12228,0.733101950595,train
ga_0000093,44112,28737,94,11831,4595,7236,9712,2612,7100,137,43,94,714,456,258,3806,845,2961,2443,2884,12491,0.651455386289,train
mo_0000110,67701,42870,906,12303,4410,7893,15602,5629,9973,1003,393,610,3963,1601,2362,4135,1929,2206,4958,4523,20308,0.63322550627,train
md_0000071,46517,43248,151,2062,1129,933,11687,6567,5120,21296,13177,8119,280,177,103,6786,4256,2530,986,565,2704,0.929724616807,train
fl_0000292,40025,33816,280,4039,1212,2827,23875,8465,15410,441,106,335,121,0,121,3798,2240,1558,1262,1000,5209,0.844871955028,train
fl_0000174,35495,26607,397,6045,3595,2450,14252,8686,5566,342,117,225,649,310,339,3042,1756,1286,1880,1164,7724,0.749598535005,train
mi_0000131,61049,50059,403,10571,4287,6284,26956,14763,12193,1073,437,636,2438,1114,1324,4393,2538,1855,4225,2887,8103,0.819980671264,train
fl_0000218,43598,33408,345,8798,2001,6797,15200,6152,9048,901,388,513,950,150,800,6103,2711,3392,1111,2191,7999,0.766273682279,train
wi_0000092,86584,70957,1210,12588,4450,8138,40894,18968,21926,3176,1288,1888,2677,947,1730,6428,3486,2942,3984,1661,13966,0.819516307863,train
wa_0000116,44113,37357,360,6138,2708,3430,23772,12560,11212,473,244,229,1483,505,978,2797,1699,1098,2334,1054,5702,0.846847867975,train
ca_0000373,60078,49589,731,11965,3839,8126,27012,8021,18991,2093,645,1448,595,181,414,5396,3132,2264,1797,1670,8819,0.825410299943,train
la_0000067,50543,43247,440,6129,2871,3258,27753,13976,13777,2139,1552,587,548,482,66,3833,1781,2052,2405,1687,5609,0.855647666344,train
fl_0000198,40133,28787,1067,7546,1598,5948,13294,4053,9241,103,0,103,903,471,432,4029,1066,2963,1845,1851,9495,0.717290010714,train
la_0000062,44843,26564,536,8580,1738,6842,10617,2494,8123,646,201,445,1451,221,1230,2648,1480,1168,2086,1408,16871,0.592377851616,train
fl_0000172,49984,42966,359,7235,2637,4598,27800,15748,12052,1121,748,373,331,209,122,4278,2692,1586,1842,1223,5795,0.859595070423,train
il_0000200,84814,75324,311,11976,5580,6396,50553,28876,21677,1571,1141,430,1187,524,663,6339,4460,1879,3387,1966,7524,0.888108095362,train
wi_0000084,60007,45049,962,8457,2597,5860,23964,7045,16919,1410,776,634,2013,772,1241,3728,2179,1549,4515,1982,12976,0.750729081607,train
ca_0000347,41813,27833,139,7923,3942,3981,11132,5683,5449,131,61,70,1046,465,581,3101,1411,1690,4361,1414,12566,0.665654222371,train
wa_0000095,51876,36875,293,3734,1503,2231,24020,13395,10625,1048,709,339,863,425,438,4491,2824,1667,2426,2853,12148,0.710829670753,train
nj_0000124,38232,32741,65,1437,469,968,13779,7212,6567,11006,4812,6194,159,47,112,5668,3113,2555,627,1515,3976,0.856376857083,train
ks_0000047,43242,38619,630,4944,3183,1761,24433,11447,12986,1287,910,377,678,499,179,4092,2251,1841,2555,986,3637,0.893090051339,train
tn_0000069,45990,25661,823,3303,940,2363,16466,4738,11728,218,115,103,1252,402,850,1553,686,867,2046,3211,17118,0.557969123723,train
fl_0000269,43749,38355,271,2430,1510,920,15153,5663,9490,12890,6124,6766,823,141,682,5433,3310,2123,1355,871,4523,0.876705753274,train
tx_0000253,41778,37973,165,4987,2386,2601,7383,4212,3171,16258,8510,7748,687,470,217,6259,4824,1435,2234,1322,2483,0.908923356791,train
fl_0000210,44719,35695,495,2910,1215,1695,17515,7674,9841,8126,3719,4407,294,142,152,5372,3794,1578,983,1929,7095,0.798206578859,train
nj_0000133,38999,27993,203,1777,877,900,10998,2822,8176,8406,3039,5367,523,183,340,5304,2222,3082,782,2009,8997,0.71778763558,train
wv_0000024,50295,39149,537,10031,2867,7164,21931,9065,12866,276,101,175,1793,466,1327,2929,1540,1389,1652,1383,9763,0.778387513669,train
ca_0000434,60942,50666,111,10149,4398,5751,23068,11398,11670,6162,3114,3048,955,374,581,5869,3237,2632,4352,2862,7414,0.831380657018,train
ca_0000548,26698,20867,325,5690,879,4811,10653,2263,8390,339,299,40,273,42,231,1917,988,929,1670,649,5182,0.781594126901,train
fl_0000236,30616,22062,119,7190,903,6287,10154,1667,8487,771,62,709,550,111,439,2548,1080,1468,730,707,7847,0.720603605958,train
me_0000030,44181,35151,245,6445,2261,4184,22686,9628,13058,157,82,75,836,255,581,3019,1222,1797,1763,1543,7487,0.795613499015,train
co_0000080,52530,37660,331,9070,4211,4859,20466,9722,10744,264,143,121,1385,680,705,4271,2650,1621,1873,2814,12056,0.716923662669,train
mi_0000173,40757,28130,579,4158,2007,2151,17798,8446,9352,898,253,645,607,415,192,2376,1449,927,1714,3277,9350,0.690188188532,train
il_0000218,56248,50917,274,10113,4561,5552,26190,10081,16109,1421,952,469,2358,357,2001,4978,2965,2013,5583,671,4660,0.905223296828,train
id_0000034,36340,27116,698,8758,4199,4559,9575,4238,5337,376,149,227,1766,869,897,2580,1016,1564,3363,1276,7948,0.746175013759,train
mn_0000074,47328,37764,425,10109,3966,6143,19308,9629,9679,437,209,228,998,371,627,3559,2152,1407,2928,1477,8087,0.797920892495,train
ok_0000051,55268,47098,255,7701,2763,4938,27837,13481,14356,1657,869,788,1059,480,579,6099,4006,2093,2490,2341,5829,0.85217485706,train
md_0000057,48815,40684,682,2358,880,1478,16561,7360,9201,12419,7037,5382,357,134,223,7309,4178,3131,998,1078,7053,0.833432346615,train
fl_0000170,62131,46003,481,7524,2092,5432,28706,8254,20452,524,104,420,1462,420,1042,5344,1928,3416,1962,3828,12300,0.740419436352,train
ar_0000050,67415,49023,708,14013,6874,7139,20303,11128,9175,1701,868,833,2378,1538,840,5591,2573,3018,4329,3126,15266,0.727182377809,train
ca_0000433,60580,52919,292,13555,6640,6915,22452,12241,10211,4509,3046,1463,1615,749,866,6455,3513,2942,4041,1100,6561,0.873539121822,train
ak_0000019,45404,36418,145,5108,2546,2562,21409,11052,10357,293,79,214,982,476,506,6360,4627,1733,2121,691,8295,0.802087921769,train
in_0000120,54935,38521,564,9283,2364,6919,20594,5205,15389,3249,738,2511,488,77,411,2226,923,1303,2117,1715,14699,0.701210521525,train
ia_0000048,55807,47088,274,11443,5280,6163,26130,12077,14053,2671,1733,938,567,416,151,3746,1907,1839,2257,2455,6264,0.843765119071,train
ma_0000101,54426,46474,340,3017,801,2216,25357,12122,13235,10624,6284,4340,303,0,303,5511,3575,1936,1322,1446,6506,0.853893359791,train
ca_0000564,43753,26684,434,7418,3020,4398,7082,2722,4360,414,308,106,1430,483,947,2616,1505,1111,7290,1219,15850,0.609878179782,train
ny_0000254,63297,48158,597,5668,1501,4167,26871,6533,20338,5527,1659,3868,177,68,109,8317,5286,3031,1001,1984,13155,0.760825947517,train
tn_0000087,44197,33638,697,6847,1130,5717,16027,5943,10084,1812,868,944,1139,424,715,3572,2398,1174,3544,1763,8796,0.761092381836,train
la_0000051,50428,32109,666,9191,3612,5579,12034,4513,7521,409,170,239,933,517,416,3043,2196,847,5833,1962,16357,0.63672959467,train
ga_0000115,47841,35929,128,6663,2290,4373,19506,9761,9745,1631,658,973,1068,507,561,5246,3401,1845,1687,4705,7207,0.751008549152,train
oh_0000145,48353,30834,671,4092,1039,3053,19025,4377,14648,454,117,337,1950,312,1638,2040,856,1184,2602,1767,15752,0.637685355614,train
fl_0000259,44756,32014,331,8898,4452,4446,16763,7920,8843,552,298,254,1056,817,239,2696,1410,1286,1718,1176,11566,0.7153007418,train
tx_0000215,47461,43415,27,5144,1778,3366,12300,5733,6567,14158,6287,7871,323,254,69,10719,2493,8226,744,1307,2739,0.914751058764,train
ma_0000100,42865,38121,205,1179,514,665,15616,5955,9661,15063,7599,7464,198,136,62,5562,2937,2625,298,884,3860,0.889326956725,train
ok_0000062,57777,34726,697,9678,4339,5339,7204,3349,3855,357,262,95,4994,1441,3553,3584,1512,2072,8212,2645,20406,0.601035013933,train
va_0000129,43198,40893,72,2119,941,1178,15860,9225,6635,17993,12494,5499,74,0,74,4325,3548,777,450,445,1860,0.946641048197,train
fl_0000193,43887,29820,235,1723,613,1110,15222,3929,11293,6349,2115,4234,279,195,84,4408,2655,1753,1604,1740,12327,0.679472281086,train
in_0000109,40685,35635,283,7169,3645,3524,21270,8856,12414,2507,1262,1245,384,117,267,2075,1449,626,1947,1071,3979,0.875875629839,train
nj_0000147,52177,45119,228,2830,1260,1570,19878,11508,8370,15385,9245,6140,0,0,0,4412,2295,2117,2386,2165,4893,0.864729670161,train
ca_0000475,40194,35555,332,9700,4670,5030,17319,9376,7943,2067,1329,738,585,421,164,3610,2029,1581,1942,711,3928,0.884584763895,train
wi_0000103,54061,35741,1090,14481,4641,9840,8423,2939,5484,1255,540,715,1936,767,1169,4747,2281,2466,3809,2453,15867,0.661123545624,train
ma_0000124,49101,42965,479,2200,866,1334,20225,7972,12253,10181,4565,5616,152,0,152,8715,4026,4689,1013,932,5204,0.875033095049,train
ca_0000541,50020,46671,326,11005,4948,6057,27387,14896,12491,2432,1251,1181,408,168,240,4410,2873,1537,703,1142,2207,0.933046781287,train
fl_0000168,42438,30519,442,7865,1532,6333,14586,3494,11092,453,262,191,685,333,352,4397,2209,2188,2091,3477,8442,0.719143220698,train
fl_0000190,53662,45876,396,1827,853,974,24066,8607,15459,13436,5747,7689,128,128,0,4297,2488,1809,1726,1603,6183,0.854906637844,train
oh_0000175,38628,33479,48,3678,839,2839,21401,6712,14689,2499,821,1678,709,124,585,4361,2114,2247,783,806,4343,0.866702909806,train
al_0000068,38327,16905,289,5523,1934,3589,5659,1933,3726,1034,292,742,178,30,148,2975,1346,1629,1247,3488,17934,0.441072872909,train
ca_0000503,59581,50978,318,6245,3960,2285,33254,17366,15888,1637,1382,255,398,160,238,6375,3783,2592,2751,749,7854,0.855608331515,train
tx_0000216,39822,34824,137,3824,1481,2343,9483,3496,5987,11150,5210,5940,485,197,288,8950,1381,7569,795,1169,3829,0.874491487118,train
ia_0000046,67314,49124,1062,11903,4062,7841,26832,10331,16501,827,118,709,979,330,649,3962,2090,1872,3559,2392,15798,0.729773895475,train
az_0000059,40748,27848,164,4496,1315,3181,17897,5950,11947,0,0,0,1048,371,677,2039,758,1281,2204,2491,10409,0.683420045156,train
wi_0000085,70571,54969,879,11213,2852,8361,30361,10001,20360,1339,819,520,2262,589,1673,5894,2454,3440,3021,2350,13252,0.778917685735,train
wa_0000099,41108,35079,379,4641,1749,2892,23731,12188,11543,375,220,155,856,364,492,3104,1811,1293,1993,1038,4991,0.853337549869,train
co_0000083,48175,45235,223,12715,6884,5831,22480,12224,10256,1020,671,349,708,496,212,6820,4804,2016,1269,1139,1801,0.938972496108,train
mt_0000025,81462,59678,1671,19555,3905,15650,19509,4980,14529,1044,358,686,4205,1365,2840,6407,2594,3813,7287,3768,18016,0.732586973067,train
md_0000082,35031,23261,592,1156,295,861,9491,2368,7123,5150,1985,3165,441,45,396,4821,2237,2584,1610,1719,10051,0.664011875196,train
ca_0000399,35820,17295,326,6227,1143,5084,6079,1168,4911,279,0,279,359,41,318,2097,815,1282,1928,3558,14967,0.482830820771,train
wa_0000082,35778,25726,981,5315,1985,3330,11196,5049,6147,789,483,306,2456,698,1758,2390,1048,1342,2599,2453,7599,0.719045223322,train
id_0000026,53512,42401,482,6297,1968,4329,23491,9473,14018,240,240,0,3619,1268,2351,3080,1436,1644,5192,2759,8352,0.792364329496,train
ca_0000497,37284,30965,252,2225,954,1271,20244,7237,13007,2034,1274,760,1173,311,862,3533,1796,1737,1504,1596,4723,0.830517111898,train
ca_0000486,54768,48476,113,13190,8191,4999,24427,14384,10043,2329,1509,820,1038,388,650,4625,3346,1279,2754,739,5553,0.885115395852,train
nv_0000042,55853,47913,306,6025,2628,3397,29876,13461,16415,641,89,552,1584,698,886,6697,4337,2360,2784,1903,6037,0.857841118651,train
fl_0000291,36014,29630,415,4619,1414,3205,20206,6868,13338,686,380,306,42,0,42,2031,1174,857,1631,725,5659,0.822735602821,train
tx_0000319,31189,19668,336,4688,1804,2884,7102,2527,4575,1905,152,1753,570,320,250,2612,982,1630,2455,1723,9798,0.630606944756,train
ga_0000105,54331,32981,571,7436,2945,4491,18234,5285,12949,66,66,0,326,118,208,3580,1776,1804,2768,2417,18933,0.60703833907,train
nc_0000116,59131,39497,500,8731,2153,6578,21301,6674,14627,576,170,406,957,266,691,3258,1467,1791,4174,2554,17080,0.6679575857,train
sd_0000025,52461,38414,499,5237,1589,3648,14522,5003,9519,5611,1380,4231,2794,888,1906,5435,2395,3040,4316,2786,11261,0.732239187206,train
oh_0000140,56795,39739,487,7680,3345,4335,22380,10679,11701,1645,1120,525,636,183,453,3568,1498,2070,3343,1825,15231,0.699691874285,train
oh_0000176,38335,32761,180,5819,2496,3323,18506,7330,11176,2550,681,1869,895,112,783,3145,1557,1588,1666,2166,3408,0.85459762619,train
mi_0000158,57640,42048,483,4519,1817,2702,31157,11362,19795,831,477,354,592,333,259,2724,1014,1710,1742,2380,13212,0.729493407356,train
wv_0000025,89677,58376,1506,21407,6685,14722,25187,10710,14477,149,38,111,1789,863,926,3585,1937,1648,4753,3455,27846,0.650958439734,train
nc_0000098,40777,23804,471,8287,3103,5184,5994,2007,3987,383,260,123,2039,727,1312,2394,905,1489,4236,1167,15806,0.583760453197,train
il_0000136,51531,36372,432,13153,4013,9140,9669,3324,6345,700,163,537,4565,1382,3183,4791,1968,2823,3062,1121,14038,0.705827560109,train
il_0000157,37526,30275,240,4361,2307,2054,20069,11836,8233,92,50,42,1541,537,1004,1708,753,955,2264,1091,6160,0.806773970047,train
pa_0000157,56202,40343,633,6153,2168,3985,21334,6474,14860,5871,2692,3179,382,176,206,4166,1739,2427,1804,2731,13128,0.717821429842,train
ar_0000044,70826,45504,672,9348,3702,5646,23162,11325,11837,558,241,317,1772,576,1196,5458,2134,3324,4534,4072,21250,0.642475926919,train
az_0000099,52095,26817,614,7676,3040,4636,6055,2492,3563,225,152,73,1598,480,1118,4617,1850,2767,6032,1294,23984,0.514771091276,train
ar_0000057,40470,21297,770,8513,2391,6122,2801,1298,1503,758,325,433,1807,542,1265,2531,936,1595,4117,2836,16337,0.526241660489,train
ca_0000413,55072,49292,187,4195,1614,2581,14507,7499,7008,21115,13034,8081,425,307,118,6112,3939,2173,2751,1229,4551,0.895046484602,train
ca_0000374,37352,34162,89,7897,3398,4499,15918,7844,8074,3101,1509,1592,782,196,586,5517,3329,2188,858,898,2292,0.914596273292,train
nc_0000159,46132,35510,192,4983,2514,2469,24587,12154,12433,102,0,102,840,566,274,2581,1240,1341,2225,1532,9090,0.769747680569,train
ks_0000051,42470,35491,149,6901,3136,3765,20332,11973,8359,1370,620,750,999,361,638,3216,2300,916,2524,1680,5299,0.835672239228,train
mo_0000107,53069,34909,589,10594,2384,8210,16057,5591,10466,2071,934,1137,573,0,573,2578,965,1613,2447,3885,14275,0.657803991031,train
ny_0000136,45321,33321,487,4305,1201,3104,15239,4934,10305,3342,1281,2061,2033,947,1086,4483,2310,2173,3432,1834,10166,0.735222082478,train
tx_0000300,39187,31073,1180,10327,3540,6787,11168,5127,6041,2507,679,1828,639,182,457,2437,1516,921,2815,2004,6110,0.792941536734,train
fl_0000201,52384,41440,617,8735,2817,5918,20940,7579,13361,996,280,716,1787,1100,687,6229,3052,3177,2136,2478,8466,0.791081246182,train
in_0000108,47020,43548,511,11341,4862,6479,20882,9893,10989,5175,2047,3128,574,116,458,3369,2130,1239,1696,1399,2073,0.926159081242,train
wi_0000089,64088,47350,952,8498,3452,5046,27012,11325,15687,1314,597,717,2390,1065,1325,3066,1663,1403,4118,4255,12483,0.73882786169,train
tx_0000282,62454,42830,479,10414,4400,6014,12521,5237,7284,1077,220,857,6191,2666,3525,6405,3134,3271,5743,3494,16130,0.685784737567,train
ms_0000034,54029,30705,1057,11651,4480,7171,6404,1980,4424,1008,320,688,3088,696,2392,3436,1770,1666,4061,4113,19211,0.568305909789,train
va_0000097,49960,32216,1154,9346,2843,6503,8237,2715,5522,404,162,242,4219,1272,2947,3635,2059,1576,5221,3024,14720,0.644835868695,train
ma_0000099,48443,38741,853,4682,1378,3304,26546,11802,14744,271,137,134,493,198,295,4287,2107,2180,1609,1081,8621,0.799723386248,train
ct_0000055,70124,59672,129,3576,1268,2308,46205,26402,19803,2798,1497,1301,754,405,349,4759,3410,1349,1451,1246,9206,0.850949746164,train
mi_0000157,65202,47949,870,6298,2084,4214,32585,11073,21512,780,431,349,724,453,271,3634,1879,1755,3058,2530,14723,0.735391552406,train
nc_0000158,52983,36228,1103,7101,2209,4892,19565,8082,11483,327,98,229,1311,98,1213,3846,1792,2054,2975,2659,14096,0.683766491139,train
fl_0000283,65748,55499,155,14480,4733,9747,29382,13158,16224,1001,724,277,791,253,538,8350,5292,3058,1340,2749,7500,0.844116931314,train
tx_0000222,40348,36192,288,3003,1532,1471,11965,6310,5655,12475,6009,6466,230,62,168,4047,2297,1750,4184,822,3334,0.896996133637,train
nj_0000093,56722,46703,200,3501,1300,2201,22225,8332,13893,15707,6836,8871,383,328,55,2780,1535,1245,1907,1207,8812,0.823366594972,train
nm_0000048,41677,30104,484,9250,5524,3726,13994,5930,8064,439,325,114,1498,1100,398,2845,1774,1071,1594,2360,9213,0.722316865417,train
md_0000074,46949,42670,415,4714,1689,3025,15872,6466,9406,13258,5448,7810,362,227,135,6079,3087,2992,1970,949,3330,0.908858548638,train
sc_0000070,49982,37311,878,7436,1915,5521,18321,7846,10475,495,259,236,618,96,522,6428,3572,2856,3135,2341,10330,0.746488735945,train
tx_0000390,31854,14950,706,2329,653,1676,7223,1649,5574,307,215,92,1845,450,1395,1447,861,586,1093,2871,14033,0.469328812708,train
va_0000122,65595,56207,403,7555,3701,3854,37308,20286,17022,1057,271,786,534,448,86,5772,3426,2346,3578,2048,7340,0.856879335315,train
oh_0000142,40274,27595,1176,7382,2811,4571,12200,4172,8028,377,97,280,1807,873,934,2248,1057,1191,2405,1171,11508,0.685181506679,train
mn_0000078,52038,43021,1009,10847,4750,6097,22819,11370,11449,869,436,433,852,528,324,3482,1951,1531,3143,1839,7178,0.826722779507,train
fl_0000247,50763,36258,414,4677,941,3736,24724,8272,16452,1288,715,573,347,232,115,3080,1583,1497,1728,4141,10364,0.714260386502,train
tx_0000335,35899,31406,28,8085,4720,3365,10336,6191,4145,1746,505,1241,397,166,231,4612,3039,1573,6202,1531,2962,0.874843310399,train
az_0000061,41802,33713,140,5119,2051,3068,23747,9748,13999,324,133,191,508,165,343,2865,1644,1221,1010,2263,5826,0.80649251232,train
oh_0000165,50507,36408,306,5685,1839,3846,19910,7740,12170,1603,619,984,372,171,201,5348,3146,2202,3184,3627,10472,0.720850575168,train
tx_0000323,35918,24220,289,5315,2160,3155,12099,5458,6641,28,0,28,864,475,389,2958,1631,1327,2667,2388,9310,0.674313714572,train
co_0000085,41570,38066,294,9809,4621,5188,16313,8355,7958,556,246,310,2375,889,1486,7668,5175,2493,1051,329,3175,0.915708443589,train
pa_0000123,42229,30643,799,7791,1865,5926,16225,5592,10633,354,81,273,288,155,133,3355,1356,1999,1831,1226,10360,0.725638779038,train
ny_0000177,40404,32837,158,2821,643,2178,12523,4324,8199,6533,3686,2847,206,63,143,9268,6421,2847,1328,1299,6268,0.812716562717,train
mt_0000029,55363,40496,781,14880,4327,10553,14027,3802,10225,1267,311,956,3130,385,2745,4751,1682,3069,1660,1999,12868,0.73146325163,train
fl_0000242,30682,18117,344,8756,2579,6177,3722,1361,2361,510,221,289,1328,635,693,2099,439,1660,1358,984,11581,0.59047650088,train
nv_0000048,53730,45277,238,8089,3076,5013,24579,10405,14174,937,325,612,1554,525,1029,7780,4426,3354,2100,2252,6201,0.842676344686,train
co_0000063,42941,37917,332,14894,7290,7604,10862,5177,5685,406,78,328,4070,1766,2304,5184,2977,2207,2169,1619,3405,0.883002258913,train
md_0000053,43487,37120,368,5897,2129,3768,21606,9093,12513,626,154,472,1708,278,1430,3791,1635,2156,3124,967,5400,0.853588428726,train
nc_0000100,42013,25030,1068,7622,1930,5692,9474,2367,7107,365,86,279,868,482,386,3002,1055,1947,2631,1786,15197,0.595767976579,train
ca_0000390,31087,17345,82,6363,2268,4095,4568,1234,3334,687,43,644,509,128,381,2447,1001,1446,2689,1354,12388,0.557950268601,train
tx_0000343,37321,25036,242,6839,2356,4483,8173,4155,4018,626,435,191,2097,203,1894,4815,2790,2025,2244,2848,9437,0.670828755928,train
fl_0000272,43646,31874,62,3396,1074,2322,21786,6312,15474,2351,954,1397,193,80,113,2926,1706,1220,1160,979,10793,0.730284562159,train
pa_0000110,42984,29498,918,4899,1205,3694,19195,4581,14614,360,0,360,627,175,452,2262,768,1494,1237,1328,12158,0.686255350828,train
tx_0000313,56809,48056,226,12801,7285,5516,21428,13365,8063,2056,1096,960,410,340,70,6296,4732,1564,4839,3690,5063,0.845922301044,train
sd_0000026,47374,36083,811,6024,2299,3725,15840,6830,9010,3029,1387,1642,2029,880,1149,5103,2363,2740,3247,2349,8942,0.761662515304,train
ma_0000097,55448,37565,373,6243,2598,3645,22158,11104,11054,512,329,183,232,130,102,3547,2135,1412,4500,909,16974,0.677481604386,train
nj_0000151,43568,32538,598,3867,1427,2440,22739,8405,14334,498,217,281,464,158,306,3239,2042,1197,1133,1885,9145,0.746832537642,train
